nombre;categoria;precio;descripcion;imagen;destacado
Cortinas a medida;Cortinas;Consultar;Confección e instalación de cortinas a tu gusto. Te asesoramos en tienda.;;si
Estores y visillos;Cortinas;Consultar;Estores enrollables y visillos para vestir cada ventana de tu casa.;;no
Juego de sábanas 100% algodón;Ropa de cama;34,99 €;Suaves y transpirables. Disponibles en varios colores y tamaños.;;si
Edredón nórdico acolchado;Ropa de cama;59,99 €;Calientito y ligero, ideal para las noches frescas.;;no
Juego de sartenes;Menaje y cocina;39,99 €;Antiadherentes y resistentes, para el día a día en tu cocina.;;si
Batería de cacerolas;Menaje y cocina;Consultar;Cacerolas de calidad para cocinar de todo con comodidad.;;no
Vajilla completa;Menaje y cocina;Consultar;Pon una mesa bonita con nuestras vajillas y juegos de platos.;;no
Perfumes y ambientadores de hogar;Decoración;Consultar;Aromas para que tu casa huela siempre de maravilla.;;si
Jarrones y detalles decorativos;Decoración;18,50 €;El toque elegante que le falta a tu salón o recibidor.;;no
Cafetera de goteo;Pequeños electrodomésticos;27,99 €;Prepara hasta 12 tazas. Fácil de usar y limpiar.;;no
Detalles y regalos;Regalos;Consultar;Bolsas y envoltorios para regalar con encanto en cualquier ocasión.;;si
